name|country|booth|categories|phone|certs|exports_compact
TG FISHERY HOLDINGS CORP|Viet Nam|-|PAN|0918424516|HACCP,BRC,IFS,ASC,BAP,|JP,CN+10
THAIMEX Seafood|Viet Nam|-|SEA,SQD,VAP|840903706021-8|EUcode,FDAcode,ISO,HAC|JP,US+4
Thami Corporation (TMC)|Viet Nam|-|KHAC|0901139019|-|-
Thanh Hào Seafood|Viet Nam|-|SEA,SQD|0796844588|BRC,HACCP,HALAL,MSC,SM|KR,JP,US+7
thermofin Germany|Germany|-|EQP|0909249918|-|-
Tianjin Sure International Co.,Ltd|China|-|EQP|00861382018865|ISO|US,VN+3
TOAN HUNG CHEMICAL CO., LTD|Viet Nam|-|OTH|0942946870|-|-
Tradexpo|South Korea|-|-|+821080197234|-|-
TRAPIA|Malaysia|-|AQU,SEA|60195108686|ASC,BAP,BRC,BSCI,FDAco|US+2
Trung tâm Khuyến công và Xúc tiến thương mại|Viet Nam|-|KHAC,SEA,VAP|0915181744|ISO,HACCP|-
TRUONG PHUC SEAFOOD CO.,LTD|Viet Nam|-|PAN,SEA,SHR,VAP|0844771772|HACCP,HALAL,ISO|KR,CN+2
TRUONG THINH CORPORATION|Viet Nam|-|VAP|0963545395|-|-
Turkish Salmon From Black Sea|Turkey|-|AQU,SEA|+904623261601|MSC,ISO,HALAL,HACCP,Gl|JP,CN,US,VN+17
UNIONE Co., Ltd.|South Korea|-|-|+821066651618|-|-
VASEP TRAINING & TRADE PROMOTION CENTER (VASEP.PRO)|Viet Nam|-|-|0983221783|-|-
Vật Liệu Cách Âm - Cách Nhiệt Cát Tường|Viet Nam|-|KHAC|0937222568|-|-
VCC FOODS|Viet Nam|-|KHAC,VAP|0838333766|-|-
VEDAN VIETNAM ENTERPRISE CORP.,LTD|Viet Nam|-|OTH,SEA,VAP|+842513825111|-|-
Viet acc|Viet Nam|-|AQU,EQP,KHAC,VAP|02835129360|ISO|-
VIET COOL REFRIGERATION TECHNOLOGY SERVICE TRADING COMPANY LTD|Viet Nam|-|EQP|0708238566|-|-
VIET LONG AN MECHANICAL CO., LTD|Viet Nam|-|EQP,KHAC|1800282288|BRC,ISO,EUcode|US+11
VIET NAM FISHES COMPANY LIMITED|Viet Nam|-|OTH,PAN,SEA,SHR,TUN|0819266860|HALAL,ISO,HACCP,EUcode|+8
VIET NHAT GROUP|Viet Nam|-|-|0334298568|-|-
VIETROSCO|Viet Nam|-|SEA|02822225541|BRC,HACCP,HALAL,FDAcod|JP,US+1
VIFOODS JSC|Viet Nam|-|SEA,SHR,SQD,VAP|02862586483|EUcode,HACCP,HALAL,ISO|JP,US+4
VILFOOD CO.,LTD|-|-|-|0908606022|-|-
VINASEA (Biển Việt)|Viet Nam|-|EQP,SEA,SHR,SQD,VAP|+842583562911|ISO|JP
Vinh Hoan Corp|Viet Nam|-|PAN,SEA|02773891166|-|-
VN Seafood Company Limited|Viet Nam|-|PAN,SEA,SHR,SQD,TUN,VAP|0966899341|IFS,ISO,BRC,HACCP,HALA|+14
Volta Belting technology Ltd.|Israel|-|EQP,VAP|+97249951300|-|-
VOXCOOL|Viet Nam|-|EQP,KHAC|0813866133|ISO|JP
VPSA|Viet Nam|-|KHAC|0909929691|-|-
VTHERMO|Viet Nam|-|EQP|0936216088|-|KR+2
WEIHAI HAINA FOODS CO.,LTD|China|-|SEA,VAP|0086-631-86802|HALAL|KR+2
Weihai Junhe Foods Co.,Ltd.|China|-|VAP|00861563441773|BRC,EUcode,FDAcode,HAC|KR,US+3
WEIHAI QZ-BLUESEA FOODS CO.,LTD|China|-|SEA,VAP|86-631-5327306|BRC,EUcode,FDAcode,HAC|JP,US,VN+5
WON-A Company|South Korea|-|SEA|82-10-7111-100|-|VN
WXR|China|-|EQP|+8615288247257|-|-
XAERUS PERFORMANCE VIET NAM|Viet Nam|-|EQP,VAP|02835357682|-|-
Xiamen Jinrunda Machinery Co.,Ltd|China|-|EQP|+86-1379925499|-|-
XIAMEN SANFENGSHUN IM&EX CO.,LTD|China|-|SEA,SQD,VAP|0086-592-60123|-|KR,VN+5
XIAMEN YUCHUANG IMPORT AND EXPORT CO., LTD|China|-|EQP,VAP|+86-1588095678|HACCP,ISO|US,VN+8
YANTAI EAST FOOD STORAGE CO.,LTD|China|-|SQD|865356386361|FDAcode,HACCP|KR,VN+5
YONGLI BELTING VIETNAM|Viet Nam|-|EQP|0903851636|FDAcode|-
ZERO KARA VN|Viet Nam|-|EQP,SHR|0566979666|-|-
Zhangzhou Yingbo Machinery Manufacturing Co.,Ltd.|China|-|EQP|86-13906048784|-|VN+5
Zhejiang Biyang Youxian Food Co., Ltd|China|-|SEA,SQD|+86-1760102953|EUcode,ISO|VN+6
Zhejiang Blue Whale Supply Chain Management Co., Ltd|China|-|SEA,SQD,TUN|+8615858465622|-|JP,VN+7
Zhengzhou Chiliang Technology Co., Ltd|China|-|EQP|86-371-5569815|-|VN+7
ZHOUSHAN DONGYU FOODS CO.,LTD.|China|-|-|13758002098|-|-
Zhucheng Jiawang Industry and Trade Co., Ltd|China|-|EQP|+86-536-605691|-|-
ZIEHL-ABEGG|Singapore|-|EQP|(+84)909784647|-|-
